extension,count,lines
git/logs/refs/remotes/origin/second,1,1
git/objects/85/d0cc2338a9b46632abcb7ad5ac32e1c555486f,1,0
git/objects/c9/257f46571fc89405630bc16044d5b1cfcc104c,1,0
sample,14,868
git/objects/7b/311fb85c79fbaad47a24d03b3555ff6db0d715,1,1
rev,1,0
git/HEAD,1,1
git/logs/refs/heads/first,1,1
git/objects/9c/a21ddfbb8161e7652ade79efde6f425dbe2436,1,1
git/objects/b0/d671ef72c0d5ed7ba73da497102ffc2eb779f1,1,1
git/logs/refs/heads/main,1,4
sh,3,104
git/objects/91/fdda3c251c1aab0efb90d897659fb29da4a1fd,1,6
git/objects/c6/f7b11fb530ff7ff2f777410f01c9699b44f863,1,2
git/objects/a5/58f61c816fc5ed1d29e638f22f742886ef9b87,1,2
git/objects/58/4d8a09212a59e65189db9fea9fc954c02ef911,1,1
git/refs/heads/second,1,1
csv,1,1
git/objects/39/66224110ee6e250b81bd6db4897484c9002ea5,1,0
git/objects/21/520574516e87f54da7a1732644028ae73ea69d,1,1
idx,1,1
git/objects/4b/e9f60085ac7c8ed5a0041aabf5e466704dd3da,1,3
git/objects/db/ff46da5d5a95004f5ff7885d862941eb99afd3,1,3
md,2,91
git/objects/03/97a1a9c46faa63e469c219bc3a7411e1d43efd,1,1
git/logs/HEAD,1,8
git/objects/a7/672e5b71b4d19755155578aa54fbea6b8bd5de,1,1
git/COMMIT_EDITMSG,1,1
git/objects/ab/cfe7b1571663462987ac24f58978f6121468c8,1,6
git/refs/remotes/origin/second,1,1
git/refs/heads/main,1,1
pack,1,2
git/refs/heads/first,1,1
git/objects/c5/5fc234a914531797fb391db1a20c00cc6d95f7,1,1
git/index,1,5
git/refs/remotes/origin/HEAD,1,1
git/logs/refs/remotes/origin/HEAD,1,1
git/config,1,16
git/objects/10/01b121775b5b2aa2db18e63ca9856cb687dc8f,1,0
git/packed-refs,1,2
git/info/exclude,1,6
git/objects/a0/4e879ed4e5d11a30d9c322e8e405aa956aa233,1,0
git/description,1,1
git/refs/remotes/origin/main,1,1
git/logs/refs/remotes/origin/main,1,3
git/logs/refs/heads/second,1,2
